dong,timestamp,pred_p10,pred_p50,pred_p90
신원동,2031-01-01,1636.8448486328125,1641.88720703125,1652.80419921875
신원동,2031-02-01,1847.0828857421875,1849.30126953125,1863.88330078125
신원동,2031-03-01,1776.379638671875,1780.187744140625,1791.99462890625
신원동,2031-04-01,1456.3424072265625,1463.1383056640625,1470.530029296875
신원동,2031-05-01,1582.55810546875,1587.7039794921875,1595.692626953125
신원동,2031-06-01,1665.3277587890625,1669.52001953125,1679.010986328125
신원동,2031-07-01,1628.778076171875,1632.6029052734375,1639.276123046875
신원동,2031-08-01,1455.0965576171875,1460.789306640625,1466.7801513671875
신원동,2031-09-01,1628.872314453125,1632.626220703125,1639.182373046875
신원동,2031-10-01,1648.90283203125,1652.57080078125,1659.56884765625
신원동,2031-11-01,1703.780029296875,1707.4609375,1716.219970703125
신원동,2031-12-01,1508.538818359375,1514.5810546875,1522.736572265625
신원동,2032-01-01,1637.8564453125,1642.8857421875,1653.7547607421875
신원동,2032-02-01,1846.3927001953125,1848.628662109375,1863.0673828125
신원동,2032-03-01,1774.9268798828125,1778.7301025390625,1790.4805908203125
신원동,2032-04-01,1456.4677734375,1463.253173828125,1470.62548828125
신원동,2032-05-01,1582.3560791015625,1587.495361328125,1595.4765625
신원동,2032-06-01,1664.6875,1668.8623046875,1678.4019775390625
신원동,2032-07-01,1628.690673828125,1632.512451171875,1639.178955078125
신원동,2032-08-01,1455.1591796875,1460.8505859375,1466.8310546875
신원동,2032-09-01,1628.6387939453125,1632.39111328125,1638.932861328125
신원동,2032-10-01,1648.5977783203125,1652.263427734375,1659.25048828125
신원동,2032-11-01,1703.717041015625,1707.393798828125,1716.1416015625
신원동,2032-12-01,1508.680908203125,1514.71728515625,1522.8575439453125
신원동,2033-01-01,1638.7685546875,1643.7862548828125,1654.6134033203125
신원동,2033-02-01,1845.734130859375,1847.985107421875,1862.3089599609375
신원동,2033-03-01,1773.67236328125,1777.471435546875,1789.170166015625
신원동,2033-04-01,1456.572021484375,1463.3486328125,1470.7041015625
신원동,2033-05-01,1582.160400390625,1587.29541015625,1595.2701416015625
신원동,2033-06-01,1664.27392578125,1668.4404296875,1678.000244140625
신원동,2033-07-01,1628.609375,1632.428466796875,1639.0892333984375
신원동,2033-08-01,1455.1964111328125,1460.8870849609375,1466.858642578125
신원동,2033-09-01,1628.44287109375,1632.1937255859375,1638.7235107421875
신원동,2033-10-01,1648.3363037109375,1652.000244140625,1658.9761962890625
신원동,2033-11-01,1703.653076171875,1707.326171875,1716.064697265625
신원동,2033-12-01,1508.775634765625,1514.807373046875,1522.934814453125
신원동,2034-01-01,1639.54541015625,1644.553466796875,1655.3438720703125
