cluster,timestamp,var_p10,var_p50,var_p90
상승,2032-03-01,1892.3849242129434,2356.04031620382,2840.328519165563
상승,2032-04-01,1911.082360106218,2363.9954264072367,2860.558692654283
상승,2032-05-01,1932.8463753991252,2378.9339421476197,2882.1246542875006
상승,2032-06-01,1932.1496531898974,2387.773143012034,2890.5083627371746
상승,2032-07-01,1950.6669990085072,2412.556017124316,2906.2459357336247
상승,2032-08-01,1955.5439075008153,2416.7690130039273,2930.82119637849
상승,2032-09-01,1962.1988432691107,2431.0976443270265,2950.936580276242
상승,2032-10-01,1965.828871879322,2458.9293410948353,2958.807565735226
상승,2032-11-01,1959.2241112177294,2469.398836158443,2970.723873338753
상승,2032-12-01,1990.265461061804,2486.0654904800995,3003.3509935981333
상승,2033-01-01,2005.2543266170526,2500.5924015295095,3029.2283446584706
상승,2033-02-01,2002.534507273442,2516.14023328146,3036.444611715412
상승,2033-03-01,2031.1775240047011,2532.43658105553,3060.154996290525
상승,2033-04-01,2035.25782830124,2542.4022029666235,3095.7318478230377
상승,2033-05-01,2046.0245868105865,2555.6475442154647,3100.518892410236
상승,2033-06-01,2051.657204967171,2566.31861260192,3098.682831538784
상승,2033-07-01,2068.834387979042,2595.0794220171256,3115.473326214489
상승,2033-08-01,2071.1458147691274,2614.6633459249897,3133.7144855345337
상승,2033-09-01,2074.1820669521226,2621.80670354115,3157.8236736810386
상승,2033-10-01,2108.942364356072,2626.5664290641303,3191.17342474044
상승,2033-11-01,2120.27114223112,2648.1310154749676,3208.5613111228918
상승,2033-12-01,2114.3467222692802,2670.1124926069774,3212.6609447321616
상승,2034-01-01,2113.963643277002,2677.296611666849,3238.908697509284
상승,2034-02-01,2128.770650002022,2694.4489189359765,3256.9850182770288
상승,2034-03-01,2141.9681724227335,2713.653638452871,3285.669037442908
상승,2034-04-01,2155.449231174493,2730.134964086961,3291.6680312265617
상승,2034-05-01,2166.217802362223,2738.9278612507505,3317.3889591077946
상승,2034-06-01,2178.07767224265,2750.2855936173078,3341.7534266370662
상승,2034-07-01,2182.4067115551125,2773.0489469422855,3348.972762809775
상승,2034-08-01,2177.6360463390415,2788.108216013393,3360.888645551482
상승,2034-09-01,2198.5187006364763,2792.3617613470315,3378.29457289798
